@relation MIXED
@attribute v {False,True}
@attribute w {False,True}
@attribute x real
@attribute y real
@attribute class {p,n}

@data
False,True,0.39226,0.49057,n
True,True,0.20782,0.44344,p
True,True,0.09870,0.75227,p
False,False,0.80524,0.77222,n
True,True,0.73318,0.37057,p
True,False,0.42972,0.06114,p
False,True,0.97737,0.60389,n
True,True,0.38842,0.84592,p
True,True,0.73555,0.66594,p
False,True,0.37290,0.68844,n
True,True,0.24931,0.97730,p
True,False,0.95806,0.27248,p
True,False,0.19357,0.05200,p
True,True,0.76815,0.44154,p
False,True,0.61117,0.72918,n
True,True,0.49796,0.06178,p
False,True,0.19884,0.54534,n
True,True,0.21587,0.07616,p
True,True,0.74693,0.08929,p
True,True,0.84407,0.85720,p
False,False,0.43825,0.93761,n
False,True,0.91327,0.01550,p
False,True,0.26952,0.50418,n
True,False,0.95268,0.76913,n
False,False,0.60628,0.63263,n
True,False,0.00888,0.30309,p
False,False,0.70451,0.12680,p
False,False,0.99952,0.73908,n
True,True,0.12983,0.75193,n
False,False,0.07474,0.48040,n
False,False,0.12132,0.26596,n
False,True,0.50227,0.85955,n
False,True,0.21874,0.57059,p
False,False,0.49928,0.21294,p
True,False,0.41209,0.04909,p
False,False,0.02749,0.25190,p
True,True,0.89536,0.76921,p
True,False,0.30207,0.73587,n
True,False,0.16326,0.90201,n
False,False,0.09300,0.52917,n
False,False,0.55764,0.56579,n
False,False,0.95343,0.99728,p
False,False,0.28872,0.59882,n
False,True,0.45067,0.58696,n
False,True,0.55841,0.50510,n
False,False,0.93449,0.16508,n
False,True,0.34212,0.39659,p
False,True,0.43711,0.13504,n
False,False,0.14157,0.97616,n
True,False,0.81756,0.44988,n
False,False,0.59924,0.44341,n
True,False,0.33207,0.41210,p
False,False,0.32067,0.78828,n
False,False,0.64191,0.62200,n
False,False,0.65605,0.90396,n
False,True,0.45958,0.14928,p
True,True,0.37575,0.99676,p
True,True,0.19842,0.44639,p
True,False,0.22376,0.39124,p
False,False,0.35114,0.89376,n
False,False,0.66803,0.85882,n
True,True,0.48845,0.81451,n
True,False,0.03989,0.57094,n
True,True,0.47480,0.05150,p
True,False,0.35010,0.94309,n
True,False,0.52010,0.53856,n
True,False,0.87891,0.87748,n
True,False,0.18535,0.92421,n
False,True,0.44651,0.96270,n
True,False,0.99736,0.67258,n
False,False,0.33884,0.61639,n
True,False,0.08085,0.76652,p
True,False,0.58129,0.05194,p
True,False,0.55007,0.31270,n
True,False,0.60018,0.81293,n
True,False,0.61995,0.27435,p
False,True,0.07832,0.48954,p
True,False,0.59146,0.93562,n
False,True,0.08459,0.77571,n
False,False,0.78236,0.42787,n
False,True,0.21824,0.92165,n
True,True,0.23818,0.28849,p
False,False,0.22802,0.11335,n
True,True,0.90967,0.88939,p
False,False,0.56763,0.30463,n
False,True,0.62170,0.66781,n
False,False,0.87946,0.07278,n
True,False,0.89528,0.13824,p
True,True,0.53855,0.45984,p
False,True,0.13667,0.73871,p
True,False,0.58756,0.09465,n
False,True,0.74902,0.61492,p
True,True,0.11570,0.87449,p
False,False,0.12211,0.55539,p
False,True,0.99284,0.85250,n
True,False,0.33641,0.83514,p
True,False,0.94371,0.51806,p
False,True,0.68956,0.56050,p
False,True,0.09705,0.74996,p
True,False,0.28036,0.05435,p
True,True,0.13199,0.50702,p
False,True,0.56273,0.19567,p
False,False,0.58016,0.03131,n
False,False,0.96554,0.71865,n
True,True,0.18782,0.44286,p
False,False,0.86921,0.16116,n
False,False,0.40415,0.52474,n
True,False,0.77510,0.61916,p
False,True,0.88472,0.97440,n
False,True,0.98987,0.24892,p
False,False,0.02520,0.42534,n
False,True,0.80150,0.36572,p
False,True,0.27741,0.46227,p
False,False,0.40561,0.47959,n
False,False,0.43249,0.11528,n
True,False,0.06246,0.53841,p
False,True,0.02258,0.20403,p
True,False,0.82526,0.95456,n
False,True,0.90603,0.36326,p
True,True,0.52398,0.24013,p
False,True,0.44627,0.43830,n
True,True,0.99737,0.69869,p
False,True,0.85960,0.93152,n
False,False,0.43738,0.73905,n
True,True,0.01231,0.73120,p
True,False,0.36653,0.82890,p
False,True,0.60631,0.98068,n
False,False,0.01634,0.21867,n
False,True,0.94229,0.71509,n
True,False,0.38383,0.26048,p
True,False,0.69966,0.09460,p
False,False,0.11236,0.50743,n
False,True,0.31319,0.46585,p
True,True,0.73724,0.00936,p
False,False,0.81829,0.17772,n
False,False,0.11828,0.88153,n
True,False,0.03505,0.65941,n
True,False,0.91588,0.15220,p
True,True,0.22284,0.22911,p
True,False,0.58352,0.83377,p
True,False,0.79475,0.93287,n
False,False,0.70922,0.25959,n
True,False,0.91798,0.90605,n
False,True,0.40509,0.91256,p
False,True,0.75702,0.80058,n
False,True,0.66778,0.30263,n
False,False,0.05078,0.49936,n
False,True,0.92890,0.60876,p
False,False,0.10316,0.50538,p
True,True,0.27765,0.06812,p
True,True,0.48738,0.17914,p
True,False,0.83068,0.33012,n
False,False,0.15266,0.42933,n
False,False,0.79415,0.51348,p
True,True,0.18530,0.95287,n
False,False,0.86001,0.76814,n
False,False,0.74236,0.47911,n
False,True,0.51264,0.92195,n
True,False,0.47941,0.75479,n
False,True,0.96467,0.87638,n
False,False,0.06953,0.65827,n
False,False,0.74594,0.29696,n
False,True,0.71323,0.05195,p
True,False,0.92150,0.96020,n
True,False,0.38236,0.07751,p
True,False,0.85549,0.41796,p
False,False,0.36944,0.69840,n
True,False,0.30508,0.71916,n
False,True,0.50079,0.84187,n
False,True,0.55910,0.72769,n
False,False,0.12020,0.67906,n
True,False,0.37083,0.12628,p
True,True,0.95574,0.26616,p
False,True,0.23937,0.96577,n
True,False,0.85016,0.38781,p
False,False,0.17861,0.67889,n
False,True,0.04459,0.98920,n
True,True,0.61911,0.31532,p
True,True,0.31665,0.75013,p
True,True,0.00478,0.69320,p
False,False,0.29477,0.69377,n
False,False,0.67399,0.49148,n
False,True,0.32055,0.95180,n
False,True,0.48271,0.94132,n
False,True,0.32888,0.51019,p
True,False,0.88305,0.91951,p
True,False,0.70787,0.36176,p
True,True,0.58376,0.18102,n
False,True,0.29604,0.76528,n
False,False,0.65826,0.15247,n
False,False,0.40225,0.81855,n
True,True,0.66990,0.41819,p
True,False,0.18233,0.66420,p
True,True,0.79197,0.14970,p
False,False,0.70674,0.20020,p
True,True,0.23803,0.77646,n
False,True,0.75062,0.93535,n
False,True,0.78638,0.18795,p
True,True,0.09937,0.01809,p
False,False,0.02881,0.83122,n
False,True,0.48150,0.55851,n
True,False,0.01723,0.09447,p
True,False,0.06985,0.77760,n
False,True,0.80084,0.13953,p
False,False,0.61532,0.39037,n
True,False,0.11949,0.31758,p
True,True,0.99479,0.53491,p
False,True,0.89507,0.32626,p
True,True,0.67174,0.68569,n
True,False,0.75449,0.87516,n
False,False,0.15568,0.65902,n
True,True,0.44394,0.49319,p
False,False,0.34336,0.68309,n
False,False,0.56225,0.52061,n
False,False,0.10758,0.46310,n
True,True,0.16837,0.60292,p
False,True,0.39112,0.79596,n
True,True,0.22099,0.92531,p
True,True,0.19511,0.94661,p
False,True,0.83569,0.33038,p
False,True,0.24784,0.24369,p
True,True,0.23502,0.68523,p
True,False,0.86882,0.81676,n
True,True,0.29802,0.32216,p
False,False,0.53806,0.01204,n
False,False,0.81028,0.79523,n
True,True,0.55777,0.58068,p
False,False,0.40252,0.27949,n
False,False,0.65700,0.26242,n
True,False,0.02802,0.97803,n
False,True,0.58678,0.02220,p
False,False,0.02747,0.69222,p
True,True,0.27242,0.56476,p
True,True,0.01210,0.08707,p
False,True,0.04831,0.67096,n
True,False,0.43266,0.45317,n
False,False,0.24911,0.44369,n
False,True,0.14631,0.17796,p
False,True,0.46378,0.06262,p
True,True,0.83045,0.79350,p
False,False,0.94480,0.22592,n
True,False,0.83768,0.47999,p
True,False,0.64520,0.44350,n
False,False,0.47756,0.66678,n
True,True,0.27872,0.17808,p
False,False,0.69338,0.44594,n
False,True,0.36301,0.88739,n
True,False,0.49317,0.16322,p
False,False,0.91766,0.32209,n
True,False,0.45714,0.60950,n
False,True,0.85017,0.37814,p
False,False,0.20316,0.15785,n
True,True,0.27518,0.25008,n
True,False,0.81694,0.36605,p
True,True,0.70088,0.01182,p
True,True,0.79452,0.23740,p
False,True,0.02661,0.29918,p
True,False,0.55720,0.55297,n
True,False,0.31926,0.57353,n
False,True,0.26975,0.59816,p
False,True,0.52360,0.75699,p
True,True,0.28222,0.69951,p
False,True,0.70057,0.22018,p
False,True,0.39138,0.97738,n
True,False,0.17513,0.78203,p
True,True,0.94650,0.55799,p
False,True,0.78660,0.92570,n
True,True,0.43558,0.37969,p
True,True,0.06975,0.03830,p
False,False,0.43844,0.18454,n
False,False,0.24359,0.74500,n
True,False,0.45031,0.41555,n
False,True,0.39579,0.63742,n
False,False,0.64509,0.82073,n
True,False,0.39281,0.21883,p
True,False,0.62410,0.52069,n
True,False,0.55667,0.48585,n
True,False,0.55347,0.58554,n
False,True,0.93495,0.61242,p
False,False,0.47454,0.18216,n
True,False,0.52711,0.88562,n
False,True,0.78576,0.38497,p
False,True,0.41038,0.62819,n
False,True,0.73191,0.81124,p
False,False,0.95286,0.71738,n
True,True,0.76155,0.87007,n
False,True,0.33459,0.12879,p
True,False,0.43538,0.70250,n
False,False,0.91396,0.19572,n
False,True,0.26291,0.89413,n
True,True,0.79314,0.86735,p
False,False,0.93268,0.23608,n
False,False,0.32100,0.57602,n
True,True,0.26737,0.73619,p
True,True,0.40543,0.89274,p
False,True,0.17821,0.20168,p
True,True,0.87699,0.18830,n
False,False,0.56870,0.50642,n
True,True,0.02196,0.50829,p
True,True,0.00754,0.02565,p
True,False,0.47673,0.99073,n
False,False,0.76184,0.13061,n
True,False,0.82852,0.78058,p
False,False,0.16547,0.36265,n
False,False,0.60657,0.45855,n
True,True,0.05663,0.83657,p
False,False,0.44544,0.39848,n
True,False,0.79673,0.35171,p
False,False,0.16670,0.17094,n
True,True,0.69515,0.15055,p
True,True,0.79888,0.94905,p
True,False,0.53766,0.43635,n
False,True,0.85209,0.51831,n
True,True,0.98075,0.06601,p
True,True,0.31453,0.59739,p
True,True,0.04213,0.92963,p
False,False,0.08485,0.92072,n
True,True,0.35660,0.89141,p
False,False,0.27002,0.72222,n
True,True,0.05648,0.47469,p
False,True,0.94427,0.48930,p
False,False,0.24682,0.54119,n
False,False,0.48045,0.49246,n
True,True,0.38923,0.48863,p
False,False,0.76787,0.40652,n
False,False,0.88409,0.00709,n
True,False,0.68854,0.58084,n
True,True,0.60035,0.33557,p
True,False,0.82755,0.31424,p
False,True,0.30724,0.94044,n
True,False,0.93476,0.74185,n
True,True,0.40902,0.38743,p
False,False,0.73791,0.27214,n
True,True,0.17282,0.67828,p
True,True,0.75754,0.60496,p
True,False,0.04852,0.80636,n
False,True,0.33385,0.97575,n
False,False,0.34655,0.70582,n
True,False,0.09515,0.77910,n
False,False,0.20956,0.78854,n
False,False,0.39936,0.21745,n
False,True,0.82420,0.63000,n
False,True,0.28376,0.97924,n
True,False,0.65621,0.43624,p
False,False,0.27554,0.11536,p
False,False,0.30184,0.54787,n
False,False,0.30800,0.92560,n
True,False,0.95024,0.78730,n
True,False,0.92450,0.65758,p
True,False,0.34217,0.20569,p
True,False,0.58846,0.56079,n
True,True,0.96304,0.37332,p
False,True,0.62374,0.59159,n
True,False,0.35598,0.83797,n
True,False,0.77018,0.43455,p
True,False,0.62592,0.55278,n
False,False,0.17835,0.60237,n
False,False,0.25818,0.79770,n
True,False,0.96709,0.23239,p
False,True,0.86984,0.61826,p
True,False,0.27572,0.40609,p
False,True,0.15388,0.58498,p
True,False,0.41841,0.19612,p
True,True,0.42597,0.78096,p
True,True,0.13522,0.83318,p
True,False,0.17038,0.93599,n
True,False,0.64666,0.48187,n
True,False,0.93770,0.79627,n
True,False,0.64692,0.21909,p
False,False,0.32093,0.37004,n
False,True,0.35676,0.91337,n
False,False,0.26194,0.11463,n
False,False,0.11740,0.35833,n
True,True,0.99158,0.50216,p
True,True,0.23028,0.20567,p
False,False,0.46365,0.21998,n
False,False,0.29863,0.58843,n
True,False,0.95483,0.15636,p
False,True,0.05600,0.73158,n
False,False,0.56696,0.10114,n
False,False,0.73615,0.00560,n
True,False,0.93637,0.10009,p
True,False,0.36880,0.63291,n
False,True,0.52568,0.88242,n
False,True,0.74772,0.09220,p
True,True,0.46974,0.75324,p
True,False,0.85072,0.96194,n
True,True,0.04960,0.47093,p
False,True,0.21863,0.44441,p
False,False,0.10488,0.54638,n
False,False,0.44531,0.38810,p
True,False,0.71601,0.21853,p
True,False,0.84599,0.08211,p
True,False,0.52113,0.76127,n
False,False,0.25562,0.29058,n
False,False,0.11491,0.97296,n
False,True,0.74886,0.86706,n
True,True,0.04037,0.93043,p
True,True,0.48647,0.91374,p
False,False,0.25368,0.31391,n
False,True,0.29904,0.41841,p
True,True,0.40105,0.70579,p
False,True,0.16933,0.15544,p
True,False,0.06253,0.33932,p
False,False,0.54261,0.60630,p
False,False,0.16263,0.50284,n
False,True,0.04951,0.37130,p
True,True,0.38347,0.89049,p
True,True,0.79970,0.97223,p
True,True,0.81707,0.41809,p
True,True,0.94083,0.22292,p
True,False,0.74453,0.04178,p
False,True,0.19831,0.65423,p
False,False,0.78761,0.94086,n
True,False,0.24546,0.22521,p
True,True,0.90104,0.93731,p
True,False,0.79664,0.55437,p
True,True,0.07365,0.38465,p
False,True,0.46455,0.35976,n
True,False,0.07591,0.65504,p
False,True,0.10445,0.08675,p
False,False,0.34375,0.44846,n
True,True,0.37752,0.81197,p
False,False,0.58423,0.69153,n
True,False,0.61777,0.41508,n
True,False,0.13972,0.35238,p
True,False,0.20496,0.11406,p
True,False,0.55482,0.49399,n
True,True,0.13661,0.67536,p
False,True,0.22690,0.26231,p
False,True,0.97316,0.78881,n
True,False,0.25138,0.44780,p
True,True,0.72657,0.70323,p
False,False,0.04915,0.52927,n
False,False,0.47090,0.08151,n
True,True,0.58586,0.98401,n
True,True,0.55616,0.47723,p
True,True,0.56792,0.10425,p
False,True,0.85653,0.75925,p
True,False,0.81530,0.41836,p
False,False,0.23121,0.67940,p
True,False,0.03820,0.22935,p
True,True,0.26939,0.29921,p
True,False,0.30950,0.52544,p
True,False,0.96283,0.07839,p
False,True,0.09024,0.27888,p
False,True,0.99972,0.86629,n
False,False,0.30483,0.09418,n
True,True,0.82161,0.86428,p
False,False,0.22867,0.16921,n
False,True,0.19795,0.86216,n
True,False,0.59993,0.19038,p
True,False,0.74041,0.24152,p
False,True,0.21659,0.46002,p
False,True,0.44650,0.47822,n
False,False,0.61664,0.28861,n
True,False,0.42405,0.32124,n
False,False,0.22849,0.02752,p
False,False,0.57691,0.18712,n
True,False,0.19651,0.61487,p
False,True,0.46602,0.03183,p
True,False,0.54818,0.63141,n
True,False,0.06784,0.30819,p
False,True,0.20681,0.66164,n
False,False,0.65640,0.39424,p
True,True,0.70069,0.66049,p
False,True,0.33060,0.91202,n
False,True,0.29811,0.16085,p
True,False,0.43093,0.06755,p
False,False,0.25103,0.01866,p
False,True,0.01129,0.69966,n
True,True,0.06586,0.61279,p
True,True,0.31580,0.05834,p
True,False,0.56761,0.32357,n
True,False,0.39922,0.88359,n
True,True,0.57978,0.30696,p
False,True,0.88886,0.89984,n
False,True,0.52976,0.58588,p
False,False,0.63667,0.25035,n
False,False,0.53903,0.31289,p
True,True,0.82920,0.73085,p
True,True,0.20100,0.30943,p
False,False,0.20881,0.13129,n
True,True,0.61957,0.87989,p
False,False,0.37188,0.93373,n
False,False,0.61336,0.13611,n
True,True,0.15712,0.10030,p
False,False,0.57637,0.25178,n
False,True,0.82637,0.57524,n
True,True,0.43551,0.29194,p
False,True,0.46169,0.28837,n
False,True,0.63666,0.17213,p
True,False,0.63597,0.84979,n
True,False,0.78689,0.57506,p
True,False,0.92155,0.19895,n
True,False,0.06125,0.09856,p
False,False,0.05362,0.36588,n
True,True,0.55593,0.45850,p
False,False,0.25364,0.69241,n
True,False,0.93186,0.04819,p
True,False,0.42130,0.92273,n
True,True,0.27977,0.56616,p
False,True,0.59516,0.37837,n
False,False,0.78746,0.93982,n
False,False,0.42162,0.39512,n
True,True,0.87074,0.02027,p
True,False,0.51237,0.68091,n
True,False,0.33593,0.36976,p
True,False,0.61275,0.68280,n
False,True,0.07674,0.70788,n
True,False,0.54041,0.55013,n
False,False,0.83556,0.34317,n
False,False,0.39784,0.51316,n
True,True,0.42187,0.62760,p
True,True,0.40344,0.74944,p
False,False,0.87696,0.50506,n
True,False,0.92941,0.92630,n
True,False,0.65697,0.81600,n
True,True,0.46990,0.43328,p
False,True,0.97295,0.78711,n
False,False,0.45675,0.02859,n
False,True,0.89082,0.28892,p
True,False,0.42555,0.43757,n
True,False,0.01586,0.79187,n
True,True,0.54893,0.21294,p
False,False,0.91952,0.91134,n
False,False,0.76582,0.60865,n
False,False,0.64076,0.14006,n
True,False,0.48907,0.18689,p
True,True,0.51114,0.33474,n
False,True,0.24154,0.79409,n
False,False,0.99625,0.11640,n
False,False,0.26882,0.47392,n
False,True,0.97991,0.80000,n
True,False,0.33247,0.33058,p
False,True,0.03037,0.15884,n
True,True,0.61488,0.97621,p
False,False,0.27233,0.93781,p
False,False,0.19984,0.99785,n
False,True,0.32344,0.50466,p
True,False,0.47123,0.85426,p
False,False,0.86386,0.34474,n
False,False,0.48862,0.52060,p
False,True,0.89039,0.82701,n
True,True,0.78123,0.69247,p
False,False,0.41048,0.85337,n
False,True,0.22976,0.42130,p
True,True,0.51667,0.99872,p
True,True,0.09298,0.14878,p
False,False,0.74875,0.30185,n
True,False,0.46705,0.09750,p
False,False,0.94623,0.02800,n
False,False,0.24645,0.07816,n
False,True,0.37745,0.16123,p
False,True,0.30491,0.97684,n
True,True,0.48345,0.84916,p
False,True,0.51235,0.31604,n
True,True,0.98064,0.63238,p
True,True,0.94192,0.04415,p
False,False,0.27928,0.86401,n
True,False,0.29489,0.71135,p
True,True,0.92126,0.52119,p
True,True,0.63800,0.11925,p
False,True,0.88631,0.52246,p
False,False,0.75867,0.42597,n
True,False,0.73359,0.88513,n
False,False,0.57232,0.36081,n
True,False,0.16493,0.77478,p
False,True,0.99950,0.86079,n
True,True,0.25128,0.12928,p
False,True,0.91947,0.55638,p
True,True,0.51028,0.64251,p
False,False,0.03529,0.58962,n
False,True,0.35409,0.23969,p
True,False,0.57381,0.46376,n
True,True,0.17235,0.65057,p
False,False,0.59700,0.31881,n
False,True,0.05470,0.19279,p
True,False,0.70338,0.30334,p
False,False,0.82203,0.90702,n
False,False,0.10393,0.35833,n
True,False,0.74456,0.16683,p
False,False,0.80014,0.06340,n
True,True,0.04494,0.27412,p
True,False,0.56641,0.24294,n
False,False,0.51109,0.88768,n
False,False,0.60129,0.57004,n
False,False,0.68040,0.20545,n
True,True,0.78637,0.25780,n
False,False,0.89909,0.22717,n
False,False,0.22270,0.81794,n
True,True,0.44498,0.44531,n
False,False,0.02198,0.14292,n
False,True,0.13446,0.13316,p
True,False,0.38323,0.24010,p
False,True,0.97680,0.05013,p
True,True,0.48831,0.56454,p
False,True,0.27124,0.98755,n
False,False,0.78953,0.31445,n
False,True,0.24727,0.81486,n
True,True,0.23589,0.26895,p
False,True,0.55928,0.12604,p
False,False,0.53893,0.31664,n
False,False,0.25200,0.22828,n
False,True,0.47554,0.56959,n
False,True,0.78278,0.18532,p
True,True,0.88940,0.39255,p
True,False,0.67927,0.48552,p
True,True,0.24903,0.25256,p
True,False,0.53662,0.28533,n
False,True,0.91073,0.46066,n
False,True,0.23646,0.64273,p
True,True,0.99319,0.99334,p
True,False,0.51369,0.68667,n
True,True,0.51741,0.74889,p
False,False,0.55594,0.73514,n
False,True,0.80311,0.34547,p
True,True,0.54494,0.75930,n
False,False,0.65509,0.24516,n
False,False,0.17418,0.62762,n
True,True,0.08772,0.84501,p
True,False,0.80804,0.45512,p
False,True,0.40928,0.46870,p
True,True,0.43222,0.26608,n
True,False,0.31442,0.87932,n
True,True,0.36320,0.16951,p
False,True,0.53438,0.06211,p
False,True,0.12669,0.15024,p
False,True,0.61477,0.65995,n
True,True,0.92061,0.33345,n
True,True,0.84819,0.44629,p
False,True,0.38485,0.99749,n
True,False,0.17470,0.85432,n
False,False,0.83091,0.45643,n
True,True,0.22822,0.12154,p
True,True,0.05125,0.49890,p
False,False,0.39906,0.30857,n
True,True,0.62112,0.18322,p
True,True,0.48131,0.88452,p
False,False,0.81343,0.15016,n
False,True,0.08737,0.81214,n
False,False,0.52417,0.22665,n
True,False,0.34952,0.71557,n
True,True,0.03585,0.80121,n
True,True,0.73536,0.48862,p
True,False,0.83929,0.87595,n
False,False,0.23962,0.99649,n
False,False,0.87411,0.45792,n
True,True,0.61470,0.19013,p
True,False,0.94084,0.47424,p
True,True,0.32527,0.50083,p
False,True,0.82455,0.76819,p
False,True,0.55287,0.72022,n
True,False,0.33116,0.40530,p
False,True,0.54851,0.49814,n
False,False,0.59212,0.97026,p
False,False,0.97004,0.49013,n
True,False,0.88593,0.25396,p
False,False,0.56954,0.98988,p
False,True,0.91389,0.42282,p
False,False,0.99520,0.01382,n
True,False,0.56723,0.38419,n
True,True,0.13319,0.28342,p
False,True,0.67909,0.12262,p
True,False,0.71862,0.70476,n
False,True,0.06331,0.67826,n
True,False,0.00572,0.01860,p
True,True,0.23318,0.71647,n
True,False,0.82057,0.44210,p
True,False,0.59832,0.49903,n
True,True,0.01441,0.03301,p
False,False,0.05533,0.80817,n
False,True,0.30787,0.98693,n
False,False,0.76333,0.59361,n
False,True,0.83577,0.94455,n
True,False,0.62637,0.73332,n
True,True,0.57706,0.08938,p
True,True,0.74208,0.93269,p
False,True,0.42554,0.06700,n
False,True,0.37817,0.16199,p
True,False,0.77533,0.08788,p
False,True,0.72855,0.01151,p
False,True,0.18312,0.18882,n
True,True,0.53489,0.97010,p
False,False,0.47656,0.91248,p
False,True,0.82348,0.82414,n
False,False,0.73713,0.46441,n
False,True,0.19015,0.79320,n
False,True,0.05182,0.36691,p
False,False,0.04421,0.01693,n
True,True,0.44502,0.17515,p
False,False,0.25716,0.91623,n
True,True,0.04335,0.86981,p
False,False,0.43996,0.31811,n
True,True,0.27859,0.17212,p
True,True,0.52399,0.14490,p
True,False,0.52432,0.17870,p
True,False,0.79291,0.24952,p
False,False,0.88623,0.96489,p
False,True,0.49271,0.07327,n
True,True,0.74713,0.81053,p
True,True,0.70949,0.11309,p
False,True,0.40592,0.81704,n
False,True,0.27451,0.44235,p
True,False,0.68886,0.00732,p
False,True,0.09337,0.49979,p
True,False,0.88185,0.18088,p
False,True,0.62097,0.27883,p
False,False,0.84894,0.36103,n
False,True,0.59393,0.38629,n
False,True,0.59155,0.69852,n
False,True,0.82835,0.53232,p
False,False,0.38894,0.84952,n
False,True,0.70395,0.21043,n
True,False,0.76740,0.25128,p
True,False,0.36086,0.53621,n
False,False,0.30550,0.85129,n
False,True,0.01665,0.79868,n
True,True,0.94101,0.76244,p
True,True,0.38138,0.57576,p
True,True,0.40351,0.05969,n
False,True,0.96992,0.48333,p
True,False,0.55113,0.10050,p
False,False,0.31264,0.47493,n
False,False,0.83616,0.57003,n
True,True,0.65762,0.19733,p
False,True,0.49264,0.06832,p
True,False,0.91196,0.98791,n
False,True,0.57704,0.28592,n
False,False,0.75758,0.24021,n
True,False,0.99384,0.87093,n
False,True,0.83178,0.64383,p
True,False,0.03668,0.72963,n
True,False,0.61404,0.33035,p
True,False,0.21333,0.30398,p
False,False,0.71286,0.75346,n
False,False,0.20640,0.27087,n
True,False,0.02064,0.98470,n
True,False,0.84157,0.45115,p
False,False,0.17751,0.42334,n
True,False,0.83924,0.36621,p
True,True,0.66564,0.71735,p
True,False,0.45145,0.32836,n
False,True,0.47749,0.69065,n
True,True,0.19711,0.11722,p
False,False,0.01755,0.28539,n
True,False,0.87831,0.38848,p
True,True,0.73258,0.05435,p
False,False,0.79184,0.30213,n
False,True,0.44325,0.04495,p
False,False,0.68143,0.16883,n
True,False,0.06171,0.23423,p
True,True,0.94982,0.67119,p
False,False,0.37812,0.17544,p
False,False,0.41596,0.81350,n
False,True,0.22693,0.64025,n
False,False,0.26540,0.22914,n
False,False,0.95847,0.40651,n
False,True,0.58441,0.19506,n
False,True,0.39350,0.89484,n
False,True,0.23071,0.62728,n
False,True,0.75283,0.66770,p
True,False,0.58862,0.97821,n
True,True,0.41154,0.24599,p
False,True,0.93778,0.64358,p
True,True,0.38679,0.21462,p
True,True,0.36891,0.17980,p
True,True,0.97290,0.30082,p
False,False,0.92886,0.69339,n
False,True,0.29177,0.76019,n
False,True,0.77973,0.68238,p
False,True,0.40091,0.36610,n
True,True,0.23227,0.40896,p
