@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.83833,0.40739,p
0.17942,0.23581,n
0.53910,0.58118,n
0.74891,0.34444,p
0.58514,0.91278,n
0.21569,0.08751,p
0.36640,0.44717,n
0.16754,0.30631,n
0.01480,0.41851,n
0.50475,0.15949,p
0.91679,0.77904,p
0.34000,0.86594,n
0.61394,0.36806,p
0.82767,0.91275,n
0.80802,0.91678,n
0.87999,0.97364,n
0.54387,0.93582,n
0.47411,0.69939,n
0.72261,0.46289,p
0.63514,0.91078,n
0.64605,0.26089,p
0.21354,0.61000,n
0.80364,0.15564,p
0.28074,0.72499,n
0.48557,0.09373,p
0.52299,0.01415,p
0.99077,0.74278,p
0.38229,0.12754,p
0.29174,0.66788,n
0.96788,0.42836,p
0.39338,0.52035,n
0.52250,0.30277,p
0.70925,0.90195,n
0.11544,0.51391,n
0.32141,0.56692,n
0.35079,0.36313,n
0.57959,0.77841,n
0.25157,0.39314,n
0.93462,0.14940,n
0.03014,0.61519,n
0.84650,0.32643,p
0.45058,0.10142,p
0.81265,0.39505,p
0.47557,0.39768,p
0.27363,0.34755,n
0.06982,0.13072,n
0.43220,0.54011,n
0.89134,0.05293,n
0.25040,0.62596,n
0.96762,0.65537,p
0.69925,0.94379,p
0.72086,0.00287,p
0.41515,0.97736,n
0.72173,0.90440,n
0.28381,0.24240,p
0.21520,0.15425,p
0.35660,0.12422,p
0.23051,0.29874,n
0.66142,0.36060,p
0.08169,0.71447,n
0.89309,0.23150,p
0.63637,0.42662,p
0.66834,0.00817,p
0.38107,0.38831,n
0.80981,0.78071,n
0.10367,0.71192,n
0.46917,0.29957,p
0.87328,0.09724,p
0.64346,0.79187,n
0.38207,0.95149,n
0.75743,0.13063,p
0.26354,0.83749,n
0.71363,0.62407,p
0.87906,0.89164,n
0.30486,0.31470,n
0.49960,0.22459,p
0.70117,0.34743,p
0.11104,0.80990,n
0.98093,0.53401,p
0.17406,0.31938,p
0.15386,0.30287,n
0.24464,0.51009,n
0.58867,0.56100,p
0.20392,0.22404,n
0.85790,0.94061,n
0.36329,0.65498,n
0.99853,0.58708,p
0.49280,0.59096,n
0.46028,0.24711,p
0.33032,0.13470,n
0.37097,0.98933,n
0.52800,0.02077,p
0.17322,0.52762,p
0.21043,0.79382,n
0.79788,0.50453,p
0.16541,0.78904,n
0.43875,0.07176,p
0.68074,0.05794,p
0.97827,0.41617,p
0.60363,0.37863,p
0.18360,0.22750,n
0.92882,0.26202,p
0.68981,0.54118,p
0.95308,0.43492,p
0.29026,0.16725,p
0.61937,0.70844,n
0.29628,0.17026,p
0.37428,0.43231,n
0.30967,0.00599,p
0.39172,0.44409,n
0.73640,0.10517,p
0.45427,0.02112,p
0.53449,0.76676,n
0.10083,0.20170,n
0.12039,0.38970,n
0.47933,0.91270,n
0.41624,0.11020,p
0.53616,0.94225,n
0.81715,0.57210,p
0.16261,0.90234,n
0.10530,0.09405,p
0.77712,0.11365,p
0.95578,0.45318,p
0.23877,0.24268,n
0.92560,0.90220,n
0.32340,0.93584,n
0.34628,0.23108,p
0.85639,0.49085,p
0.46893,0.29654,p
0.90662,0.56204,p
0.00512,0.54233,n
0.75404,0.04700,p
0.65693,0.17326,p
0.52041,0.04400,p
0.85178,0.52947,p
0.51991,0.11566,p
0.53888,0.09071,p
0.06857,0.13857,n
0.47438,0.12030,p
0.12022,0.49602,n
0.45271,0.43523,p
0.49469,0.74355,n
0.64557,0.23016,p
0.75460,0.86989,n
0.00056,0.00218,n
0.75794,0.95643,n
0.32526,0.21243,p
0.21085,0.71782,n
0.70527,0.22230,p
0.02703,0.91263,p
0.80548,0.90311,n
0.62166,0.74305,n
0.75332,0.55528,n
0.86381,0.13089,n
0.20228,0.00541,p
0.51050,0.75623,n
0.17220,0.55755,n
0.36182,0.03714,p
0.44899,0.75564,n
0.35605,0.82927,n
0.02745,0.50415,n
0.69395,0.52464,p
0.90165,0.68325,p
0.93814,0.95517,n
0.22904,0.14241,p
0.99697,0.35794,p
0.00158,0.15339,n
0.73896,0.71102,n
0.25187,0.02357,p
0.75156,0.40031,p
0.82075,0.76412,n
0.39760,0.11774,p
0.82697,0.14900,p
0.68821,0.93325,p
0.76857,0.22124,p
0.98474,0.63036,p
0.17499,0.08119,p
0.55014,0.73953,p
0.78643,0.38360,p
0.98230,0.33185,p
0.22787,0.64439,n
0.37354,0.87521,n
0.94313,0.60842,p
0.58969,0.07123,p
0.69633,0.82328,n
0.28611,0.98303,n
0.31450,0.24624,p
0.75478,0.32114,p
0.74821,0.14064,p
0.46674,0.82985,n
0.83926,0.79131,n
0.33625,0.10747,n
0.99395,0.07533,p
0.05154,0.52025,n
0.18034,0.81134,n
0.79704,0.92043,p
0.30495,0.38282,n
0.67152,0.89819,n
0.58129,0.49397,p
0.58208,0.38132,p
0.54681,0.34214,p
0.33551,0.47487,n
0.01440,0.85161,n
0.48579,0.02468,p
0.79991,0.95980,n
0.51773,0.55950,n
0.23762,0.47120,p
0.89996,0.68920,p
0.13172,0.28846,p
0.78473,0.61557,n
0.10189,0.13277,n
0.60472,0.42894,p
0.90760,0.33472,p
0.58802,0.35592,p
0.59978,0.46862,p
0.97696,0.75553,p
0.23810,0.81386,n
0.41144,0.96310,n
0.71645,0.79553,n
0.86560,0.63740,p
0.63734,0.38756,n
0.80698,0.74605,n
0.73107,0.57317,p
0.16537,0.45972,n
0.94523,0.20978,p
0.09922,0.84598,n
0.34669,0.63692,n
0.54914,0.83908,n
0.01304,0.16138,n
0.37105,0.09714,p
0.03341,0.26947,n
0.52374,0.61569,n
0.31954,0.56832,n
0.34238,0.53234,n
0.17641,0.04355,p
0.31866,0.19013,n
0.23541,0.59055,n
0.17394,0.34612,p
0.82259,0.84661,n
0.15407,0.25709,n
0.36304,0.49872,n
0.07194,0.49928,n
0.97345,0.67276,p
0.89521,0.81272,n
0.19921,0.88756,n
0.05755,0.51069,n
0.19950,0.63808,n
0.67289,0.64278,n
0.77027,0.11319,p
0.29667,0.25829,p
0.02139,0.66867,n
0.09698,0.59213,n
0.81517,0.89336,n
0.31690,0.54892,p
0.95720,0.82897,n
0.27460,0.90593,n
0.09112,0.19044,n
0.06256,0.10133,n
0.83126,0.87337,p
0.87009,0.73048,p
0.35851,0.21913,p
0.92422,0.51813,p
0.10838,0.13290,n
0.49287,0.84962,n
0.42506,0.53312,n
0.63546,0.73094,n
0.04586,0.51112,n
0.48079,0.31470,p
0.17041,0.87022,n
0.43909,0.33813,n
0.08186,0.37029,n
0.74093,0.22621,p
0.93778,0.87559,n
0.68214,0.54954,p
0.30033,0.67076,n
0.99663,0.10034,p
0.62973,0.68577,n
0.07046,0.31016,n
0.12077,0.47595,p
0.03245,0.36929,n
0.20334,0.40735,p
0.24306,0.40138,n
0.14005,0.35792,n
0.66168,0.60008,n
0.27612,0.69933,n
0.80062,0.56264,p
0.38029,0.39823,n
0.36699,0.70507,n
0.61077,0.94598,n
0.49702,0.09746,p
0.84988,0.12945,p
0.81784,0.70160,p
0.44645,0.69484,n
0.88358,0.77429,n
0.31895,0.03459,n
0.20849,0.82806,n
0.98101,0.40259,p
0.05223,0.76780,n
0.49981,0.56670,n
0.86103,0.52433,p
0.41626,0.42523,n
0.75086,0.64806,p
0.56716,0.44271,p
0.26025,0.43875,n
0.00703,0.30186,n
0.35064,0.89232,n
0.79003,0.45894,p
0.96448,0.49377,p
0.43656,0.34009,p
0.47531,0.46413,n
0.71792,0.41838,p
0.77845,0.00209,p
0.68347,0.37976,p
0.86246,0.30224,p
0.93349,0.15847,p
0.58361,0.76613,n
0.16823,0.37360,p
0.22120,0.62187,n
0.75865,0.22537,p
0.50329,0.78202,n
0.50619,0.76051,n
0.33848,0.80034,n
0.02354,0.41870,n
0.40243,0.51875,n
0.03777,0.10003,n
0.59445,0.61496,n
0.03212,0.42029,n
0.91648,0.40629,n
0.06167,0.33357,n
0.87674,0.25336,p
0.63957,0.30088,p
0.12705,0.12159,p
0.36657,0.03929,p
0.94532,0.66854,p
0.60062,0.70984,n
0.04258,0.55386,n
0.95875,0.16871,p
0.00156,0.87410,n
0.32460,0.24690,p
0.49043,0.72641,n
0.73688,0.28511,p
0.89102,0.67935,p
0.17600,0.05719,p
0.14856,0.32955,n
0.69859,0.98623,n
0.17033,0.44395,n
0.26609,0.03032,p
0.83343,0.35625,p
0.47792,0.24968,p
0.06548,0.85440,n
0.77008,0.52844,n
0.68771,0.08969,p
0.37453,0.12725,n
0.19647,0.85831,n
0.66428,0.19143,p
0.99787,0.08312,p
0.61780,0.24300,p
0.56832,0.39797,p
0.56441,0.06187,p
0.31337,0.62952,n
0.71557,0.68538,n
0.38852,0.94206,n
0.77901,0.45204,p
0.52664,0.28214,n
0.73814,0.66200,p
0.96447,0.80209,p
0.78054,0.02217,n
0.31132,0.13301,p
0.91474,0.61104,p
0.01159,0.18892,n
0.35616,0.84404,n
0.44364,0.69587,n
0.60355,0.94595,n
0.75658,0.57135,p
0.48786,0.19157,p
0.24654,0.02170,p
0.22394,0.48315,n
0.47640,0.17475,p
0.96418,0.21277,p
0.42932,0.43518,p
0.02260,0.93604,n
0.21787,0.78794,n
0.68372,0.20356,p
0.66593,0.87726,n
0.85753,0.52241,p
0.02397,0.52340,n
0.83055,0.45703,p
0.15150,0.07938,p
0.28973,0.21184,p
0.71919,0.20726,p
0.10388,0.52658,n
0.19195,0.17266,p
0.53811,0.61107,n
0.93380,0.28505,p
0.63761,0.69911,n
0.10568,0.31730,n
0.06508,0.72300,n
0.48038,0.90305,n
0.28284,0.41255,n
0.80818,0.81716,n
0.30928,0.79226,n
0.21635,0.70405,p
0.71470,0.64568,p
0.19806,0.02013,p
0.34661,0.83508,n
0.42870,0.09728,p
0.86089,0.27257,p
0.67838,0.48455,p
0.57143,0.02173,n
0.11930,0.74803,n
0.65984,0.37153,p
0.70914,0.08320,n
0.42082,0.69212,n
0.20889,0.07053,p
0.21910,0.15082,p
0.65924,0.42963,p
0.31838,0.60348,n
0.34920,0.93026,n
0.37391,0.44761,n
0.63099,0.91948,n
0.22828,0.01345,p
0.85852,0.78158,n
0.93887,0.86433,n
0.47500,0.99872,n
0.86372,0.03168,p
0.23744,0.70519,n
0.83384,0.38279,n
0.85896,0.66581,p
0.27416,0.99432,n
0.05884,0.38451,n
0.20111,0.05568,p
0.70544,0.68370,n
0.87150,0.19445,p
0.52909,0.05450,p
0.23057,0.72942,n
0.06620,0.49683,n
0.36005,0.94896,n
0.48270,0.94075,n
0.92350,0.20934,p
0.98733,0.72305,p
0.08469,0.09851,n
0.61986,0.07515,p
0.11439,0.50293,n
0.94180,0.01848,p
0.61877,0.02622,p
0.90335,0.22732,n
0.51650,0.72206,n
0.25659,0.21468,p
0.09539,0.21352,n
0.85669,0.47046,p
0.55745,0.53262,n
0.90345,0.97405,n
0.56850,0.96181,n
0.33234,0.17528,p
0.70545,0.04702,p
0.51904,0.56942,n
0.51566,0.06269,p
0.21838,0.79441,n
0.89977,0.47980,p
0.51923,0.98269,n
0.85814,0.53364,p
0.71267,0.37384,p
0.84596,0.69635,p
0.02683,0.76334,n
0.90778,0.23525,p
0.03670,0.05998,n
0.47445,0.53707,n
0.44847,0.26804,p
0.34989,0.22388,p
0.73281,0.20038,p
0.43924,0.59451,n
0.39217,0.95866,n
0.63420,0.25088,p
0.81552,0.20141,p
0.06648,0.75058,p
0.66790,0.06868,p
0.39958,0.17253,p
0.94450,0.83704,n
0.09800,0.38232,n
0.36412,0.52148,n
0.26797,0.71939,n
0.18981,0.02141,p
0.71334,0.07325,p
0.21162,0.62455,n
0.96957,0.86587,n
0.49459,0.23474,p
0.92149,0.07481,p
0.06100,0.13377,n
0.85769,0.92249,p
0.11078,0.64316,n
0.49296,0.93966,n
0.31165,0.11781,p
0.47483,0.00740,p
0.11268,0.26847,n
0.21583,0.36937,n
0.40153,0.77282,n
0.26992,0.55342,n
0.76311,0.92178,n
0.64379,0.64338,n
0.25320,0.35121,n
0.84432,0.41226,n
0.43015,0.54423,n
0.38959,0.61745,n
0.22894,0.22700,n
0.15163,0.63222,n
0.26577,0.99325,n
0.83575,0.15620,n
0.81840,0.47400,p
0.97253,0.41669,p
0.12829,0.05198,p
0.97883,0.98733,p
0.39096,0.91450,n
0.61287,0.55905,p
0.89411,0.15225,p
0.79119,0.12009,p
0.54565,0.81735,n
0.81216,0.14690,p
0.91913,0.95673,n
0.37015,0.22318,p
0.38607,0.29955,p
0.64244,0.55338,p
0.24208,0.58731,n
0.46719,0.14216,p
0.54349,0.89006,n
0.20302,0.13227,p
0.19210,0.49663,n
0.20075,0.99544,n
0.72525,0.58419,p
0.78880,0.97088,n
0.22678,0.81707,n
0.30403,0.73056,n
0.82118,0.16838,p
0.73828,0.85896,n
0.26860,0.06681,p
0.18965,0.27807,n
0.27854,0.75289,n
0.19165,0.26157,n
0.50420,0.49292,n
0.97076,0.85432,n
0.85744,0.09739,p
0.59663,0.83314,n
0.08706,0.39247,n
0.27280,0.09913,n
0.11156,0.03973,p
0.39586,0.05822,p
0.68286,0.73092,n
0.72363,0.24917,p
0.40256,0.59950,n
0.48166,0.80704,n
0.19066,0.21448,n
0.87235,0.74596,p
0.66561,0.19470,p
0.20759,0.14791,p
0.93205,0.91379,n
0.06341,0.94211,n
0.26086,0.23457,p
0.64212,0.11139,p
0.38400,0.73743,n
0.77877,0.03675,n
0.67924,0.69349,n
0.97538,0.19752,p
0.94742,0.31160,p
0.94703,0.95763,n
0.86398,0.59736,p
0.01821,0.85574,n
0.64051,0.65365,n
0.17938,0.80569,n
0.68400,0.27542,p
0.52121,0.25667,p
0.55141,0.84070,n
0.51319,0.06550,p
0.90408,0.25370,p
0.08279,0.33613,n
0.91923,0.19398,p
0.36611,0.74331,n
0.28914,0.93866,n
0.80022,0.96341,p
0.15910,0.33970,n
0.84524,0.33471,p
0.25260,0.43199,n
0.43296,0.56693,n
0.45623,0.20660,p
0.79065,0.11005,p
0.34028,0.07067,p
0.48114,0.61928,n
0.35101,0.04384,p
0.16162,0.78593,n
0.78698,0.49319,p
0.79763,0.78317,n
0.95110,0.89220,n
0.56842,0.93173,n
0.71070,0.22209,p
0.99842,0.21014,n
0.78133,0.75007,n
0.35949,0.23990,p
0.82535,0.49531,p
0.68996,0.79180,n
0.32395,0.29920,p
0.57172,0.15284,p
0.43510,0.92385,n
0.13960,0.59645,n
0.39551,0.35509,p
0.77811,0.18595,p
0.94449,0.10482,p
0.35252,0.09879,p
0.66158,0.54156,p
0.10836,0.81635,n
0.55929,0.79558,n
0.48136,0.38363,p
0.29862,0.84558,n
0.75374,0.51383,p
0.18009,0.49060,n
0.11980,0.62334,n
0.62541,0.37921,n
0.22898,0.57677,n
0.08869,0.58638,n
0.10702,0.32397,n
0.65192,0.72141,p
0.32441,0.80399,n
0.64818,0.40009,n
0.44896,0.59676,n
0.68905,0.00582,p
0.93037,0.43660,p
0.32666,0.15704,p
0.17187,0.08718,p
0.63345,0.13093,p
0.33314,0.79249,n
0.31446,0.02502,p
0.92808,0.46053,p
0.15276,0.37040,n
0.08629,0.45589,n
0.25983,0.10024,p
0.99942,0.08438,p
0.64669,0.22167,p
0.83121,0.45574,p
0.20488,0.15514,p
0.29849,0.79137,p
0.08079,0.61460,n
0.57937,0.04440,p
0.83301,0.50160,p
0.00414,0.00595,n
0.31091,0.31930,n
0.59367,0.05142,p
0.81424,0.22062,p
0.18124,0.63323,n
0.16748,0.90486,n
0.00531,0.29460,n
0.21838,0.16107,p
0.71003,0.25996,n
0.00168,0.26989,n
0.94088,0.45252,p
0.92358,0.39330,p
0.69798,0.27393,p
0.70105,0.13010,p
0.40474,0.84116,p
0.48180,0.88190,p
0.44388,0.40089,p
0.84046,0.70111,p
0.46792,0.10308,n
0.86381,0.96738,n
0.17688,0.03383,p
0.21845,0.02351,p
0.27631,0.11934,p
0.56186,0.56174,n
0.92781,0.61766,p
0.25967,0.02922,p
0.88845,0.31432,p
0.36759,0.24599,p
0.07787,0.48521,n
0.58789,0.14211,p
0.60821,0.62134,n
0.56721,0.77106,n
0.07462,0.37588,n
0.24880,0.01568,p
0.86748,0.75809,p
0.28322,0.14689,p
0.70008,0.95375,n
0.03844,0.89397,n
0.88951,0.48123,n
0.58284,0.08653,p
0.18637,0.74798,n
0.92074,0.23412,p
0.28941,0.25950,p
0.96972,0.73401,p
0.65526,0.01249,p
0.71388,0.02760,p
0.97358,0.69773,p
0.50723,0.49683,n
0.94014,0.15215,p
0.07561,0.08290,n
0.24445,0.17177,p
0.18316,0.97492,n
0.40388,0.26035,p
0.57286,0.84832,n
0.72957,0.96779,n
0.33474,0.12530,p
0.49144,0.43398,p
0.44794,0.44515,n
0.96861,0.42372,p
0.15721,0.22403,n
0.17974,0.33990,n
0.31923,0.43106,n
0.28452,0.45978,n
0.75051,0.34432,p
0.83134,0.52397,p
0.12030,0.24398,n
0.39105,0.36760,p
0.49636,0.41542,p
0.43609,0.27580,n
0.22442,0.05974,n
0.21907,0.18971,p
0.70620,0.13975,p
0.12808,0.91766,n
0.23562,0.57604,n
0.27140,0.93060,n
0.92370,0.17189,p
0.91127,0.72886,p
0.35264,0.65667,n
0.99842,0.80637,p
0.67989,0.91881,n
0.32779,0.67498,n
0.44342,0.29364,n
0.33154,0.02103,n
0.89847,0.17090,p
0.59094,0.52139,n
0.97150,0.01058,n
0.86682,0.02014,p
0.62084,0.36978,p
0.17638,0.15951,p
0.34957,0.36648,n
0.15646,0.39709,n
0.54622,0.96597,n
0.79207,0.23612,p
0.79822,0.09202,p
0.90156,0.06850,p
0.55277,0.20481,p
0.35732,0.08110,p
0.01108,0.48251,n
0.09248,0.22652,n
0.63785,0.14157,p
0.70103,0.14700,p
0.80521,0.87093,n
0.07938,0.71153,n
0.89919,0.03092,p
0.57412,0.42566,p
0.36501,0.70672,n
0.40711,0.29047,p
0.25748,0.90857,n
0.63629,0.48401,p
0.35955,0.61197,n
0.95012,0.97192,n
0.53980,0.40584,p
0.87169,0.36668,p
0.16726,0.66362,n
0.18693,0.43531,n
0.43152,0.17929,p
0.01187,0.20280,p
0.59435,0.34981,p
0.96353,0.56703,p
0.90157,0.18335,n
0.17385,0.61980,n
0.36611,0.20127,p
0.69566,0.57150,p
0.42050,0.18120,p
0.25652,0.43309,p
0.46714,0.73630,n
0.17026,0.70290,n
0.40357,0.70304,n
0.33180,0.77348,n
0.61109,0.56379,p
0.21923,0.51830,n
0.62824,0.43416,p
0.02725,0.86584,n
0.62420,0.45220,p
0.49589,0.33314,p
0.91146,0.16035,p
0.70621,0.80110,n
0.62718,0.33819,p
0.90050,0.23913,p
0.40677,0.78304,n
0.43636,0.61815,n
0.42823,0.50219,n
0.78275,0.57159,n
0.32020,0.55210,n
0.34782,0.42292,n
0.54466,0.79958,n
0.67645,0.55778,p
0.87505,0.06231,p
0.71396,0.62336,p
0.96416,0.97991,n
0.45399,0.45402,n
0.63157,0.42946,p
0.89057,0.52502,p
0.95137,0.04167,p
0.35747,0.03277,p
0.72753,0.99832,n
0.11543,0.02411,p
0.11177,0.10728,p
0.29841,0.04257,p
0.06285,0.41548,n
0.35734,0.26146,p
0.38919,0.24958,n
0.79554,0.11091,p
0.13801,0.93070,n
0.79189,0.75403,n
0.15077,0.30157,n
0.18945,0.58840,n
0.61637,0.51181,p
0.21971,0.35597,n
0.17360,0.11292,p
0.39491,0.51835,n
0.11459,0.63195,n
0.72310,0.02721,p
0.77884,0.35171,p
0.66480,0.06018,p
0.56844,0.36683,p
0.80889,0.24099,p
0.29760,0.41291,n
0.69017,0.55671,p
0.03576,0.40852,n
0.54729,0.43853,p
0.60226,0.74262,n
0.67896,0.08511,p
0.53228,0.85773,n
0.04438,0.86281,n
0.54020,0.85766,n
0.29201,0.20865,p
0.01129,0.33241,p
0.08551,0.10572,n
0.77333,0.98786,n
0.87829,0.13608,p
0.97003,0.44937,p
0.47742,0.58206,n
0.65424,0.80127,n
0.02474,0.19056,n
0.33010,0.77416,n
0.00401,0.97224,n
0.64712,0.53111,n
0.68968,0.39047,p
0.55104,0.11042,p
0.66064,0.88312,n
0.35880,0.54124,n
0.47006,0.61571,n
0.60679,0.10617,p
0.67157,0.37073,p
0.42057,0.58525,n
0.39976,0.06881,p
0.22888,0.48419,n
0.59386,0.81818,n
0.86491,0.58642,p
0.02124,0.61493,n
0.28051,0.19178,p
0.00550,0.29463,n
0.35806,0.92618,n
0.01674,0.68726,n
0.86934,0.73786,p
0.07348,0.28298,n
0.31719,0.48018,n
0.84505,0.08989,p
0.87708,0.87958,n
0.02884,0.36028,n
0.33710,0.90081,n
0.55517,0.28188,p
0.17549,0.02421,p
0.46089,0.28184,p
0.91307,0.27871,p
0.31439,0.97064,p
0.33894,0.61422,p
0.03981,0.32746,n
0.35446,0.30868,n
0.94086,0.09801,p
0.82186,0.20368,p
0.71214,0.75629,n
0.02708,0.82834,n
0.52544,0.53854,n
0.88885,0.43889,p
0.53194,0.37240,p
0.63499,0.38349,p
0.78314,0.66163,p
0.81506,0.49430,p
0.10109,0.26544,n
0.31149,0.65098,n
0.98367,0.35707,p
0.19720,0.04338,p
0.87998,0.35420,p
0.36079,0.54102,n
0.94205,0.12815,n
0.68252,0.42182,p
0.45263,0.25720,p
0.89120,0.97239,n
0.42252,0.55166,p
0.23896,0.12243,p
0.21104,0.40073,n
0.77446,0.64536,p
0.32068,0.73908,n
0.78589,0.45143,p
0.42274,0.16363,p
0.81973,0.52106,p
0.98173,0.02557,p
0.10070,0.45509,n
0.19137,0.74981,n
0.34280,0.89240,n
0.50776,0.99105,n
0.87402,0.21746,p
0.92449,0.90159,p
0.00915,0.24948,n
0.22191,0.24412,n
0.31759,0.53295,n
0.30918,0.18132,p
0.02752,0.38767,n
0.78011,0.64459,p
0.18694,0.18280,p
0.48265,0.31837,p
0.02683,0.71265,n
0.79971,0.53854,p
0.82613,0.01245,p
0.62104,0.00629,p
0.74580,0.59627,p
0.68062,0.87223,n
0.84796,0.18395,p
0.92026,0.49956,p
0.80403,0.35527,p
0.74705,0.66727,p
0.58880,0.25849,p
0.80849,0.61841,n
0.39018,0.62678,n
0.40416,0.42717,n
0.32660,0.40155,n
0.29773,0.17977,p
0.77002,0.62396,p
0.68054,0.12673,p
0.04945,0.77624,n
0.72026,0.18002,p
0.61133,0.43472,n
0.71974,0.24229,n
0.83759,0.71740,p
0.72712,0.18363,p
0.05486,0.18317,n
0.91794,0.01334,p
0.07178,0.33553,n
0.26413,0.63687,n
0.50380,0.10525,p
0.29231,0.76320,n
0.29416,0.59545,n
0.16987,0.47689,p
0.27556,0.04445,p
0.25762,0.83113,n
0.09524,0.53110,n
0.77373,0.71981,n
0.74893,0.18473,p
0.57304,0.41538,n
0.91430,0.99823,n
0.07107,0.07371,p
0.38127,0.59422,n
0.13079,0.77439,n
0.90595,0.05622,p
0.48155,0.88721,n
0.51347,0.74762,p
0.04629,0.07678,n
0.22563,0.20165,p
0.52192,0.66244,n
0.14659,0.53189,n
0.99135,0.88627,n
0.98005,0.18772,p
0.55280,0.81196,n
0.73145,0.59496,p
0.38904,0.49662,n
0.33210,0.06203,n
0.76802,0.37057,p
0.97313,0.95667,n
0.10295,0.58615,n
0.73523,0.32646,p
0.23601,0.52814,n
0.03499,0.94213,n
0.61689,0.11376,p
0.11131,0.29660,n
0.98258,0.35391,p
0.34888,0.32344,n
0.18323,0.13742,p
0.89843,0.40089,p
0.22598,0.85299,n
0.97653,0.69321,p
0.32808,0.87905,n
0.05318,0.15257,p
0.02748,0.42627,n
0.09828,0.38671,n
0.15017,0.11681,p
0.87588,0.98227,n
0.45688,0.92139,n
0.69026,0.78749,n
0.83090,0.59279,p
0.75648,0.11710,p
0.54082,0.47756,p
0.14688,0.45044,n
0.66302,0.54371,p
0.89106,0.67605,p
0.42098,0.49380,n
0.01429,0.04065,n
0.09069,0.45099,n
0.77625,0.97200,n
0.74257,0.11564,p
0.22862,0.91380,n
0.87837,0.46249,n
0.68934,0.16081,p
0.06640,0.70526,n
0.09897,0.75871,n
0.39653,0.10037,n
0.42057,0.70858,p
0.15481,0.64606,n
0.39936,0.46100,n
0.43948,0.58303,n
0.60978,0.57580,n
0.39079,0.81772,n
0.41975,0.44188,n
0.42594,0.72674,n
0.50180,0.98634,n
0.73468,0.57670,p
0.15741,0.02591,p
0.99145,0.80640,n
0.34771,0.20049,p
0.38331,0.49191,n
0.98805,0.91600,n
0.55109,0.00825,p
0.83556,0.02952,p
0.28523,0.71950,p
0.72704,0.49371,p
0.21909,0.56633,p
0.35838,0.83349,n
0.94647,0.01452,p
0.86483,0.84337,n
0.93093,0.14115,p
0.35265,0.09243,p
0.54911,0.19761,p
0.94651,0.62558,p
0.66003,0.60143,n
0.17858,0.19919,p
0.02599,0.57989,n
0.74192,0.43158,p
0.37349,0.38513,n
0.31395,0.76713,p
0.33837,0.29960,p
0.90206,0.22084,p
0.78585,0.41700,p
0.95947,0.31421,p
0.98115,0.50606,p
0.60209,0.36170,p
0.35500,0.49962,n
0.42781,0.68791,n
0.94016,0.22100,p
0.60571,0.52444,p
0.42162,0.25701,p
0.71262,0.68382,n
0.94382,0.86909,n
0.96873,0.65307,p
0.21677,0.00035,p
0.76561,0.66978,p
0.57881,0.15162,p
0.45990,0.01210,p
0.81944,0.25371,p
0.28763,0.38474,n
0.49021,0.22860,p
0.33528,0.05347,p
0.70841,0.44742,p
0.95903,0.94249,p
0.97219,0.18317,p
0.25392,0.04304,p
0.00038,0.95937,n
0.10558,0.99555,p
0.85778,0.00041,p
0.35769,0.77908,n
